ID	EH1516A	EH1516C	EH1516D	EH217A	EH217C	EH217D
"104156"	0	0	0	48	15	25
"104158"	81	10	61	39	42	15
"104160"	151	85	94	661	406	493
"104161"	21	30	42	23	22	57
"104162"	5	10	3	182	369	158
"104166"	30	13	7	18	38	11
"104169"	58	27	51	138	104	113
"104170"	64	31	54	208	222	167
"104177"	34	65	70	42	58	80
"104185"	352	266	471	702	772	499
"104191"	992	1050	318	1234	1761	1248
"104193"	0	0	0	0	0	0
"104197"	665	240	184	175	408	190
"104201"	101	296	143	0	2	0
"104206"	0	1	0	9	15	17
"104208"	45	29	62	0	0	0
"104209"	58	13	21	19	41	20
"104211"	124	164	339	246	300	321
"104212"	7	4	16	41	97	32
"104215"	1082	602	402	804	386	602
"104216"	1	3	5	25	24	7
"104217"	24	3	2	23	19	22
"104224"	5	6	21	17	27	30
"104227"	27	10	29	30	132	55
"104231"	3	10	10	10	30	53
"104251"	53	62	85	167	266	179
"104255"	13	39	60	14	21	29
"104256"	6	4	2	95	134	57
"104261"	15	0	2	85	143	56
"104267"	392	407	1558	535	456	1110
"104274"	252	288	307	679	1067	842
"104285"	15	24	22	156	255	173
"104294"	64	70	157	0	3	0
"104301"	21	28	60	207	198	191
"104304"	6	5	13	180	526	360
"104314"	77	71	46	36	49	38
"104329"	374	684	716	823	1141	1375
"104334"	47	39	81	189	217	193
"104340"	1	0	0	0	0	0
"104342"	49	39	118	215	163	210
"104343"	93	40	49	54	78	103
"104344"	0	0	1	3	17	42
"104345"	0	0	0	0	0	1
"104358"	0	0	0	1	1	1
"104368"	99	160	118	75	75	106
"104370"	112	84	56	598	286	297
"104381"	0	2	2	27	57	4
"104389"	377	331	278	341	187	255
"104391"	5	9	3	78	84	118
"104396"	0	0	0	2	5	16
"104397"	0	0	0	3	6	4
"104404"	67	39	79	131	187	177
"104409"	3	1	0	0	2	1
"104413"	84	45	59	130	173	133
"104415"	14	26	21	73	100	136
"104417"	1	0	0	135	281	173
"104418"	0	0	1	45	80	74
"104429"	42	26	52	111	150	128
"104431"	44	26	46	187	250	213
"104448"	44	51	32	67	111	84
"104453"	31	44	83	242	250	301
"104459"	65	102	126	537	723	531
"104465"	87	89	112	224	284	208
"104470"	81	41	70	143	165	121
"104476"	0	0	0	0	2	0
"104516"	11	14	12	25	34	23
"104534"	571	381	182	76	88	90
"104542"	26	16	20	26	61	55
"104544"	1	2	1	304	702	397
"104559"	42	27	54	115	139	193
"104560"	311	443	163	94	121	125
"104569"	14	10	7	31	32	35
"104571"	4	4	3	11	16	11
"104572"	100	70	76	503	577	601
"104573"	26	8	15	37	97	60
"104575"	103	63	80	269	359	191
"104578"	13	5	5	56	96	58
"104580"	14	9	19	320	374	373
"104599"	54	34	72	194	229	223
"104600"	2	13	5	19	42	19
"104615"	65	29	85	93	132	80
"104628"	19	131	220	520	571	519
"104632"	17	17	18	26	44	28
"104634"	4	28	130	296	130	156
"104656"	32	41	98	218	408	267
"104672"	8	16	39	17	13	69
"104683"	1	2	2	158	120	94
"104686"	541	376	1436	2266	883	808
"104695"	20	42	89	41	89	73
"104698"	29	38	37	132	162	120
"104702"	124	97	178	151	150	123
"104721"	23	16	36	108	153	159
"104722"	1793	53	13	53	58	6
"104737"	4	1	5	118	115	108
"104739"	11	5	9	49	71	68
"104745"	93	119	146	330	518	386
"104746"	5	10	21	2	2	3
"104759"	18	29	50	99	97	82
"104768"	359	11	11	413	1002	760
"104777"	0	0	2	1	1	0
"104789"	73	106	78	53	20	37
"104796"	45	12	28	3	1	2
"104811"	33	10	19	212	186	203
"104819"	37	109	85	2	1	0
"104822"	2	3	7	36	64	38
"104830"	54	45	85	152	198	164
"104833"	302	2	1	2	0	0
"104836"	0	0	0	0	0	0
"104837"	5	1	3	64	137	50
"104841"	68	92	118	134	216	155
"104852"	4	3	9	3	4	28
"104854"	0	1	0	2	30	0
"104859"	1	0	1	24	30	30
"104861"	26	5	5	0	10	3
"104863"	94	107	100	114	127	205
"104868"	0	0	0	100	134	128
"104883"	217	192	228	313	406	319
"104884"	7	13	5	39	48	53
"104893"	23	146	350	178	197	216
"104897"	6	7	40	113	148	167
"104918"	29	74	63	142	159	344
"104921"	43	53	138	53	125	129
"104922"	79	17	0	0	0	0
"104923"	0	1	1	1	1	2
"104930"	118	152	92	0	0	0
"104934"	2	5	4	2	0	0
"104937"	19	73	87	28	49	44
"104940"	22	98	51	111	172	150
"104943"	10	11	17	44	71	46
"104952"	0	0	1	9	24	2
"104959"	60	4	8	314	189	487
"104970"	56	82	163	188	259	238
"104979"	15	36	35	75	80	71
"104985"	2	3	3	61	110	60
"104986"	106	46	65	87	134	84
"105012"	11	26	41	56	63	96
"105020"	3	4	5	22	23	11
"105022"	1	0	0	0	0	0
"105024"	8	2	13	12	11	31
"105039"	19	73	103	784	1191	1177
"105045"	14	11	6	0	8	2
"105053"	60	69	121	859	898	776
"105062"	21	5	0	8	11	3
"105067"	26	37	50	117	146	110
"105074"	8	6	12	12	11	8
"105084"	3	2	1	0	0	0
"105091"	241	66	56	0	1	1
"105100"	128	1	1	455	371	206
"105101"	283	920	544	1	0	1
"105113"	0	3	2	41	73	67
